;Q;pr;zeta;D;L;ks;ks_HW;kA;Tamb
evaporator;2790960.282800209;0.999999999999999;6.690299601841081e-11;nan;nan;nan;nan;nan;nan
condenser;-2679756.178071453;1.0;0.0;nan;nan;nan;nan;nan;nan
